# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
25 0.9967718464 0.0029834906 -0.0802299169 0.0003812948 0.0262517241 -0.0017854247 -0.2363898182 1 frame_0006_front.jpg

26 0.7615552502 0.0023792626 0.6480930136 -0.0018400303 0.0262517241 -0.0017854247 -0.2363898182 1 frame_0006_right.jpg

27 0.0802299169 0.0003812948 0.9967718464 -0.0029834906 0.0262517241 -0.0017854247 -0.2363898182 1 frame_0006_back.jpg

28 0.6480930136 0.0018400303 -0.7615552502 0.0023792626 0.0262517241 -0.0017854247 -0.2363898182 1 frame_0006_left.jpg

29 0.9972825789 0.0051293441 -0.0733899940 0.0038802521 0.0222010129 -0.0007856154 -0.2801258108 1 frame_0007_front.jpg

30 0.7570798367 0.0063707466 0.6532907119 -0.0008832414 0.0222010129 -0.0007856154 -0.2801258108 1 frame_0007_right.jpg

31 0.0733899940 0.0038802521 0.9972825789 -0.0051293441 0.0222010129 -0.0007856154 -0.2801258108 1 frame_0007_back.jpg

32 0.6532907119 0.0008832414 -0.7570798367 0.0063707466 0.0222010129 -0.0007856154 -0.2801258108 1 frame_0007_left.jpg

33 0.9976455836 0.0024703406 -0.0685360201 0.0000293662 0.0167066187 -0.0025479970 -0.3226342299 1 frame_0008_front.jpg

34 0.7539042420 0.0017675596 0.6569796728 -0.0017260296 0.0167066187 -0.0025479970 -0.3226342299 1 frame_0008_right.jpg

35 0.0685360201 0.0000293662 0.9976455836 -0.0024703406 0.0167066187 -0.0025479970 -0.3226342299 1 frame_0008_back.jpg

36 0.6569796728 0.0017260296 -0.7539042420 0.0017675596 0.0167066187 -0.0025479970 -0.3226342299 1 frame_0008_left.jpg

37 0.9987333387 0.0008282342 -0.0502851697 -0.0015600971 0.0027065477 -0.0038276280 -0.3654199059 1 frame_0009_front.jpg

38 0.7417681009 -0.0005175052 0.6706541319 -0.0016888053 0.0027065477 -0.0038276280 -0.3654199059 1 frame_0009_right.jpg

39 0.0502851697 -0.0015600971 0.9987333387 -0.0008282342 0.0027065477 -0.0038276280 -0.3654199059 1 frame_0009_back.jpg

40 0.6706541319 0.0016888053 -0.7417681009 -0.0005175052 0.0027065477 -0.0038276280 -0.3654199059 1 frame_0009_left.jpg

41 0.9994498285 -0.0007431481 -0.0330816925 0.0022560383 -0.0112460477 -0.0053554389 -0.4079656252 1 frame_0010_front.jpg

42 0.7301100403 0.0010697749 0.6833254621 0.0021207451 -0.0112460477 -0.0053554389 -0.4079656252 1 frame_0010_right.jpg

43 0.0330816925 0.0022560383 0.9994498285 0.0007431481 -0.0112460477 -0.0053554389 -0.4079656252 1 frame_0010_back.jpg

44 0.6833254621 -0.0021207451 -0.7301100403 0.0010697749 -0.0112460477 -0.0053554389 -0.4079656252 1 frame_0010_left.jpg

45 0.9997846730 0.0015409239 -0.0204186898 0.0033630799 -0.0232420623 -0.0037116247 -0.4506458026 1 frame_0011_front.jpg

46 0.7213927160 0.0034676543 0.6925163280 0.0012884589 -0.0232420623 -0.0037116247 -0.4506458026 1 frame_0011_right.jpg

47 0.0204186898 0.0033630799 0.9997846730 -0.0015409239 -0.0232420623 -0.0037116247 -0.4506458026 1 frame_0011_back.jpg

48 0.6925163280 -0.0012884589 -0.7213927160 0.0034676543 -0.0232420623 -0.0037116247 -0.4506458026 1 frame_0011_left.jpg

49 0.9999702517 0.0030604745 -0.0064690130 -0.0028776868 -0.0388669416 -0.0021455910 -0.4936240458 1 frame_0012_front.jpg

50 0.7116600289 0.0001292504 0.7025114630 -0.0041989141 -0.0388669416 -0.0021455910 -0.4936240458 1 frame_0012_right.jpg

51 0.0064690130 -0.0028776868 0.9999702517 -0.0030604745 -0.0388669416 -0.0021455910 -0.4936240458 1 frame_0012_back.jpg

52 0.7025114630 0.0041989141 -0.7116600289 0.0001292504 -0.0388669416 -0.0021455910 -0.4936240458 1 frame_0012_left.jpg

53 0.9999673215 -0.0038380834 0.0069446517 -0.0015482014 -0.0536541306 -0.0093113167 -0.5336287125 1 frame_0013_front.jpg

54 0.7021730637 -0.0038086785 0.7119942843 0.0016191911 -0.0536541306 -0.0093113167 -0.5336287125 1 frame_0013_right.jpg

55 -0.0069446517 -0.0015482014 0.9999673215 0.0038380834 -0.0536541306 -0.0093113167 -0.5336287125 1 frame_0013_back.jpg

56 0.7119942843 -0.0016191911 -0.7021730637 -0.0038086785 -0.0536541306 -0.0093113167 -0.5336287125 1 frame_0013_left.jpg

57 0.9999971634 0.0023195370 -0.0004548044 0.0002933662 -0.0467994725 -0.0031127718 -0.5788308568 1 frame_0014_front.jpg

58 0.7074263707 0.0018476015 0.7067831801 -0.0014327191 -0.0467994725 -0.0031127718 -0.5788308568 1 frame_0014_right.jpg

59 0.0004548044 0.0002933662 0.9999971634 -0.0023195370 -0.0467994725 -0.0031127718 -0.5788308568 1 frame_0014_back.jpg

60 0.7067831801 0.0014327191 -0.7074263707 0.0018476015 -0.0467994725 -0.0031127718 -0.5788308568 1 frame_0014_left.jpg

61 0.9988921781 0.0010477637 -0.0470455841 0.0001780370 0.0061825862 -0.0049067150 -0.6230193479 1 frame_0015_front.jpg

62 0.7395896844 0.0008667720 0.6730571813 -0.0006149896 0.0061825862 -0.0049067150 -0.6230193479 1 frame_0015_right.jpg

63 0.0470455841 0.0001780370 0.9988921781 -0.0010477637 0.0061825862 -0.0049067150 -0.6230193479 1 frame_0015_back.jpg

64 0.6730571813 0.0006149896 -0.7395896844 0.0008667720 0.0061825862 -0.0049067150 -0.6230193479 1 frame_0015_left.jpg

65 0.9982156928 -0.0072874630 -0.0592631905 -0.0004446169 0.0195820889 -0.0156545567 -0.6636775688 1 frame_0016_front.jpg

66 0.7477504894 -0.0054674061 0.6639396816 0.0048386229 0.0195820889 -0.0156545567 -0.6636775688 1 frame_0016_right.jpg

67 0.0592631905 -0.0004446169 0.9982156928 0.0072874630 0.0195820889 -0.0156545567 -0.6636775688 1 frame_0016_back.jpg

68 0.6639396816 -0.0048386229 -0.7477504894 -0.0054674061 0.0195820889 -0.0156545567 -0.6636775688 1 frame_0016_left.jpg

69 0.9973284948 -0.0018725712 -0.0729702688 -0.0027761240 0.0365026254 -0.0088058092 -0.7071174919 1 frame_0017_front.jpg

70 0.7568155136 -0.0032871239 0.6536199699 -0.0006389083 0.0365026254 -0.0088058092 -0.7071174919 1 frame_0017_right.jpg

71 0.0729702688 -0.0027761240 0.9973284948 0.0018725712 0.0365026254 -0.0088058092 -0.7071174919 1 frame_0017_back.jpg

72 0.6536199699 0.0006389083 -0.7568155136 -0.0032871239 0.0365026254 -0.0088058092 -0.7071174919 1 frame_0017_left.jpg

73 0.9895923679 -0.0042529459 -0.1437630095 0.0045885687 0.1384897627 -0.0124660635 -0.7373865221 1 frame_0018_front.jpg

74 0.8014032728 0.0002373211 0.5980916751 0.0062518949 0.1384897627 -0.0124660635 -0.7373865221 1 frame_0018_right.jpg

75 0.1437630095 0.0045885687 0.9895923679 0.0042529459 0.1384897627 -0.0124660635 -0.7373865221 1 frame_0018_back.jpg

76 0.5980916751 -0.0062518949 -0.8014032728 0.0002373211 0.1384897627 -0.0124660635 -0.7373865221 1 frame_0018_left.jpg

77 0.9799950485 -0.0077942666 -0.1988686956 0.0004430315 0.2182844949 -0.0184536396 -0.7602407864 1 frame_0019_front.jpg

78 0.8335825476 -0.0051981082 0.5523397411 0.0058246494 0.2182844949 -0.0184536396 -0.7602407864 1 frame_0019_right.jpg

79 0.1988686956 0.0004430315 0.9799950485 0.0077942666 0.2182844949 -0.0184536396 -0.7602407864 1 frame_0019_back.jpg

80 0.5523397411 -0.0058246494 -0.8335825476 -0.0051981082 0.2182844949 -0.0184536396 -0.7602407864 1 frame_0019_left.jpg

81 0.9741511441 -0.0010511053 -0.2258842542 -0.0021788115 0.2584955873 -0.0084180906 -0.7911736176 1 frame_0020_front.jpg

82 0.8485531679 -0.0022838960 0.5291045920 -0.0007974087 0.2584955873 -0.0084180906 -0.7911736176 1 frame_0020_right.jpg

83 0.2258842542 -0.0021788115 0.9741511441 0.0010511053 0.2584955873 -0.0084180906 -0.7911736176 1 frame_0020_back.jpg

84 0.5291045920 0.0007974087 -0.8485531679 -0.0022838960 0.2584955873 -0.0084180906 -0.7911736176 1 frame_0020_left.jpg

85 0.9642645609 0.0005248807 -0.2649386102 0.0010553978 0.3212905548 -0.0054991173 -0.8112153746 1 frame_0021_front.jpg

86 0.8691778978 0.0011174256 0.4944981220 0.0003751322 0.3212905548 -0.0054991173 -0.8112153746 1 frame_0021_right.jpg

87 0.2649386102 0.0010553978 0.9642645609 -0.0005248807 0.3212905548 -0.0054991173 -0.8112153746 1 frame_0021_back.jpg

88 -0.4944981220 0.0003751322 0.8691778978 -0.0011174256 0.3212905548 -0.0054991173 -0.8112153746 1 frame_0021_left.jpg

89 0.9436325139 -0.0039712059 -0.3309685026 -0.0013260999 0.4296561292 -0.0140525635 -0.8020360812 1 frame_0022_front.jpg

90 0.9012790221 -0.0037457608 0.4332188769 0.0018703724 0.4296561292 -0.0140525635 -0.8020360812 1 frame_0022_right.jpg

91 0.3309685026 -0.0013260999 0.9436325139 0.0039712059 0.4296561292 -0.0140525635 -0.8020360812 1 frame_0022_back.jpg

92 -0.4332188769 0.0018703724 0.9012790221 0.0037457608 0.4296561292 -0.0140525635 -0.8020360812 1 frame_0022_left.jpg

93 0.9254881824 -0.0032517914 -0.3787616833 -0.0007983445 0.5082319312 -0.0128489191 -0.7979748075 1 frame_0023_front.jpg

94 0.9222439244 -0.0028638786 0.3865940150 0.0017348490 0.5082319312 -0.0128489191 -0.7979748075 1 frame_0023_right.jpg

95 0.3787616833 -0.0007983445 0.9254881824 0.0032517914 0.5082319312 -0.0128489191 -0.7979748075 1 frame_0023_back.jpg

96 -0.3865940150 0.0017348490 0.9222439244 0.0028638786 0.5082319312 -0.0128489191 -0.7979748075 1 frame_0023_left.jpg

97 0.9121973809 -0.0026309803 -0.4097407048 0.0012534432 0.5601244552 -0.0110378532 -0.8048869623 1 frame_0024_front.jpg

98 0.9347513847 -0.0009740658 0.3552905229 0.0027467022 0.5601244552 -0.0110378532 -0.8048869623 1 frame_0024_right.jpg

99 0.4097407048 0.0012534432 0.9121973809 0.0026309803 0.5601244552 -0.0110378532 -0.8048869623 1 frame_0024_back.jpg

100 -0.3552905229 0.0027467022 0.9347513847 0.0009740658 0.5601244552 -0.0110378532 -0.8048869623 1 frame_0024_left.jpg

101 0.8956452488 -0.0031155181 -0.4447333464 0.0047045079 0.6201238498 -0.0108466099 -0.8019941814 1 frame_0025_front.jpg

102 0.9477907940 0.0011235855 0.3188428639 0.0055295934 0.6201238498 -0.0108466099 -0.8019941814 1 frame_0025_right.jpg

103 0.4447333464 0.0047045079 0.8956452488 0.0031155181 0.6201238498 -0.0108466099 -0.8019941814 1 frame_0025_back.jpg

104 -0.3188428639 0.0055295934 0.9477907940 -0.0011235855 0.6201238498 -0.0108466099 -0.8019941814 1 frame_0025_left.jpg

105 0.8716787423 -0.0009887167 -0.4900666469 0.0031423434 0.6983836006 -0.0070916754 -0.7782002045 1 frame_0026_front.jpg

106 0.9628993989 0.0015228441 0.2698405004 0.0029211006 0.6983836006 -0.0070916754 -0.7782002045 1 frame_0026_right.jpg

107 0.4900666469 0.0031423434 0.8716787423 0.0009887167 0.6983836006 -0.0070916754 -0.7782002045 1 frame_0026_back.jpg

108 -0.2698405004 0.0029211006 0.9628993989 -0.0015228441 0.6983836006 -0.0070916754 -0.7782002045 1 frame_0026_left.jpg

109 0.8368953504 -0.0048398923 -0.5473061852 0.0062199344 0.7961655703 -0.0130952538 -0.7209333244 1 frame_0027_front.jpg

110 0.9787782923 0.0009758371 0.2047704624 0.0078204784 0.7961655703 -0.0130952538 -0.7209333244 1 frame_0027_right.jpg

111 0.5473061852 0.0062199344 0.8368953504 0.0048398923 0.7961655703 -0.0130952538 -0.7209333244 1 frame_0027_back.jpg

112 -0.2047704624 0.0078204784 0.9787782923 -0.0009758371 0.7961655703 -0.0130952538 -0.7209333244 1 frame_0027_left.jpg

113 0.8148523156 -0.0016855098 -0.5796552061 0.0035643927 0.8485934888 -0.0076472688 -0.7001915100 1 frame_0028_front.jpg

114 0.9860657250 0.0013285708 0.1663094710 0.0037122417 0.8485934888 -0.0076472688 -0.7001915100 1 frame_0028_right.jpg

115 0.5796552061 0.0035643927 0.8148523156 0.0016855098 0.8485934888 -0.0076472688 -0.7001915100 1 frame_0028_back.jpg

116 -0.1663094710 0.0037122417 0.9860657250 -0.0013285708 0.8485934888 -0.0076472688 -0.7001915100 1 frame_0028_left.jpg

117 0.8029138241 -0.0106292488 -0.5959893307 0.0036232455 0.8735624394 -0.0266922202 -0.7066802214 1 frame_0029_front.jpg

118 0.9891739069 -0.0049539925 0.1463177125 0.0100780354 0.8735624394 -0.0266922202 -0.7066802214 1 frame_0029_right.jpg

119 0.5959893307 0.0036232455 0.8029138241 0.0106292488 0.8735624394 -0.0266922202 -0.7066802214 1 frame_0029_back.jpg

120 -0.1463177125 0.0100780354 0.9891739069 0.0049539925 0.8735624394 -0.0266922202 -0.7066802214 1 frame_0029_left.jpg

121 0.7976193799 -0.0045429029 -0.6031404771 0.0020619694 0.8846545600 -0.0143355707 -0.7351034495 1 frame_0030_front.jpg

122 0.9904867937 -0.0017542849 0.1375173510 0.0046703500 0.8846545600 -0.0143355707 -0.7351034495 1 frame_0030_right.jpg

123 0.6031404771 0.0020619694 0.7976193799 0.0045429029 0.8846545600 -0.0143355707 -0.7351034495 1 frame_0030_back.jpg

124 -0.1375173510 0.0046703500 0.9904867937 0.0017542849 0.8846545600 -0.0143355707 -0.7351034495 1 frame_0030_left.jpg

125 0.7925212240 -0.0041000035 -0.6098211790 0.0033806933 0.8953431173 -0.0128651272 -0.7632168181 1 frame_0031_front.jpg

126 0.9916058227 -0.0005086291 0.1291884408 0.0052896514 0.8953431173 -0.0128651272 -0.7632168181 1 frame_0031_right.jpg

127 0.6098211790 0.0033806933 0.7925212240 0.0041000035 0.8953431173 -0.0128651272 -0.7632168181 1 frame_0031_back.jpg

128 -0.1291884408 0.0052896514 0.9916058227 0.0005086291 0.8953431173 -0.0128651272 -0.7632168181 1 frame_0031_left.jpg

129 0.7919781932 -0.0106926127 -0.6104407069 0.0042840247 0.8940011313 -0.0281375814 -0.8032579334 1 frame_0032_front.jpg

130 0.9916599143 -0.0045315560 0.1283663876 0.0105900819 0.8940011313 -0.0281375814 -0.8032579334 1 frame_0032_right.jpg

131 0.6104407069 0.0042840247 0.7919781932 0.0106926127 0.8940011313 -0.0281375814 -0.8032579334 1 frame_0032_back.jpg

132 -0.1283663876 0.0105900819 0.9916599143 0.0045315560 0.8940011313 -0.0281375814 -0.8032579334 1 frame_0032_left.jpg

133 0.7893841086 -0.0033285289 -0.6138689096 0.0051586683 0.9002074229 -0.0103845308 -0.8396715412 1 frame_0033_front.jpg

134 0.9922497249 0.0012941040 0.1241079874 0.0060013547 0.9002074229 -0.0103845308 -0.8396715412 1 frame_0033_right.jpg

135 0.6138689096 0.0051586683 0.7893841086 0.0033285289 0.9002074229 -0.0103845308 -0.8396715412 1 frame_0033_back.jpg

136 -0.1241079874 0.0060013547 0.9922497249 -0.0012941040 0.9002074229 -0.0103845308 -0.8396715412 1 frame_0033_left.jpg

137 0.7701075700 -0.0073936106 -0.6378423330 0.0060682257 0.9489900802 -0.0195026342 -0.8242376956 1 frame_0034_front.jpg

138 0.9955709240 -0.0009371886 0.0935256460 0.0095189557 0.9489900802 -0.0195026342 -0.8242376956 1 frame_0034_right.jpg

139 0.6378423330 0.0060682257 0.7701075700 0.0073936106 0.9489900802 -0.0195026342 -0.8242376956 1 frame_0034_back.jpg

140 -0.0935256460 0.0095189557 0.9955709240 0.0009371886 0.9489900802 -0.0195026342 -0.8242376956 1 frame_0034_left.jpg

141 0.7305141526 -0.0102735081 -0.6828071080 0.0042404060 1.0396202129 -0.0268124967 -0.7467845948 1 frame_0035_front.jpg

142 0.9993690474 -0.0042660474 0.0337339747 0.0102628870 1.0396202129 -0.0268124967 -0.7467845948 1 frame_0035_right.jpg

143 0.6828071080 0.0042404060 0.7305141526 0.0102735081 1.0396202129 -0.0268124967 -0.7467845948 1 frame_0035_back.jpg

144 -0.0337339747 0.0102628870 0.9993690474 0.0042660474 1.0396202129 -0.0268124967 -0.7467845948 1 frame_0035_left.jpg

145 0.7137621870 -0.0098829984 -0.7002846411 0.0068766406 1.0734334608 -0.0241773230 -0.7381376362 1 frame_0036_front.jpg

146 0.9998821011 -0.0021258160 0.0095300641 0.0118508544 1.0734334608 -0.0241773230 -0.7381376362 1 frame_0036_right.jpg

147 0.7002846411 0.0068766406 0.7137621870 0.0098829984 1.0734334608 -0.0241773230 -0.7381376362 1 frame_0036_back.jpg

148 -0.0095300641 0.0118508544 0.9998821011 0.0021258160 1.0734334608 -0.0241773230 -0.7381376362 1 frame_0036_left.jpg

149 0.7057187031 -0.0079399949 -0.7083936282 0.0087484922 1.0886704463 -0.0181487814 -0.7565227537 1 frame_0037_front.jpg

150 0.9999284188 0.0005716939 -0.0018914577 0.0118005424 1.0886704463 -0.0181487814 -0.7565227537 1 frame_0037_right.jpg

151 0.7083936282 0.0087484922 0.7057187031 0.0079399949 1.0886704463 -0.0181487814 -0.7565227537 1 frame_0037_back.jpg

152 0.0018914577 0.0118005424 0.9999284188 -0.0005716939 1.0886704463 -0.0181487814 -0.7565227537 1 frame_0037_left.jpg

153 0.7001502009 -0.0029015632 -0.7139835196 0.0029682985 1.0985380329 -0.0075747692 -0.7835874823 1 frame_0038_front.jpg

154 0.9999435433 0.0000471890 -0.0097816335 0.0041506190 1.0985380329 -0.0075747692 -0.7835874823 1 frame_0038_right.jpg

155 0.7139835196 0.0029682985 0.7001502009 0.0029015632 1.0985380329 -0.0075747692 -0.7835874823 1 frame_0038_back.jpg

156 0.0097816335 0.0041506190 0.9999435433 -0.0000471890 1.0985380329 -0.0075747692 -0.7835874823 1 frame_0038_left.jpg

157 0.6999446984 -0.0090865051 -0.7141370705 0.0017604345 1.0958849219 -0.0247799656 -0.8250967148 1 frame_0039_front.jpg

158 0.9999068079 -0.0051803142 -0.0100355225 0.0076699446 1.0958849219 -0.0247799656 -0.8250967148 1 frame_0039_right.jpg

159 0.7141370705 0.0017604345 0.6999446984 0.0090865051 1.0958849219 -0.0247799656 -0.8250967148 1 frame_0039_back.jpg

160 0.0100355225 0.0076699446 0.9999068079 0.0051803142 1.0958849219 -0.0247799656 -0.8250967148 1 frame_0039_left.jpg

161 0.7016630855 -0.0091980702 -0.7124456805 -0.0023371614 1.0894276431 -0.0265903065 -0.8734960498 1 frame_0040_front.jpg

162 0.9999258978 -0.0081566405 -0.0076244460 0.0048513952 1.0894276431 -0.0265903065 -0.8734960498 1 frame_0040_right.jpg

163 0.7124456805 -0.0023371614 0.7016630855 0.0091980702 1.0894276431 -0.0265903065 -0.8734960498 1 frame_0040_back.jpg

164 0.0076244460 0.0048513952 0.9999258978 0.0081566405 1.0894276431 -0.0265903065 -0.8734960498 1 frame_0040_left.jpg

165 0.7018027070 -0.0114148672 -0.7122770349 0.0020215763 1.0873989040 -0.0317707780 -0.9153129929 1 frame_0041_front.jpg

166 0.9999053747 -0.0066420597 -0.0074064683 0.0095010003 1.0873989040 -0.0317707780 -0.9153129929 1 frame_0041_right.jpg

167 0.7122770349 0.0020215763 0.7018027070 0.0114148672 1.0873989040 -0.0317707780 -0.9153129929 1 frame_0041_back.jpg

168 0.0074064683 0.0095010003 0.9999053747 0.0066420597 1.0873989040 -0.0317707780 -0.9153129929 1 frame_0041_left.jpg

169 0.6871727326 -0.0071516000 -0.7264501890 0.0035514911 1.1232382936 -0.0191728292 -0.9132595992 1 frame_0042_front.jpg

170 0.9995823539 -0.0025456614 -0.0277733557 0.0075682283 1.1232382936 -0.0191728292 -0.9132595992 1 frame_0042_right.jpg

171 0.7264501890 0.0035514911 0.6871727326 0.0071516000 1.1232382936 -0.0191728292 -0.9132595992 1 frame_0042_back.jpg

172 0.0277733557 0.0075682283 0.9995823539 0.0025456614 1.1232382936 -0.0191728292 -0.9132595992 1 frame_0042_left.jpg

173 0.6770942359 -0.0137550393 -0.7357677429 -0.0001521453 1.1442917247 -0.0391725106 -0.9242505591 1 frame_0043_front.jpg

174 0.9990442861 -0.0098338645 -0.0414884347 0.0096186986 1.1442917247 -0.0391725106 -0.9242505591 1 frame_0043_right.jpg

175 0.7357677429 -0.0001521453 0.6770942359 0.0137550393 1.1442917247 -0.0391725106 -0.9242505591 1 frame_0043_back.jpg

176 0.0414884347 0.0096186986 0.9990442861 0.0098338645 1.1442917247 -0.0391725106 -0.9242505591 1 frame_0043_left.jpg

177 0.6699810216 -0.0111890237 -0.7422793602 0.0046462834 1.1612928535 -0.0305513328 -0.9436857274 1 frame_0044_front.jpg

178 0.9986188927 -0.0046264160 -0.0511226455 0.0111972531 1.1612928535 -0.0305513328 -0.9436857274 1 frame_0044_right.jpg

179 0.7422793602 0.0046462834 0.6699810216 0.0111890237 1.1612928535 -0.0305513328 -0.9436857274 1 frame_0044_back.jpg

180 0.0511226455 0.0111972531 0.9986188927 0.0046264160 1.1612928535 -0.0305513328 -0.9436857274 1 frame_0044_left.jpg

181 0.6670786150 -0.0093773107 -0.7449273420 0.0012010879 1.1666024721 -0.0257888544 -0.9786098086 1 frame_0045_front.jpg

182 0.9984389873 -0.0057814626 -0.0550473628 0.0074800574 1.1666024721 -0.0257888544 -0.9786098086 1 frame_0045_right.jpg

183 0.7449273420 0.0012010879 0.6670786150 0.0093773107 1.1666024721 -0.0257888544 -0.9786098086 1 frame_0045_back.jpg

184 0.0550473628 0.0074800574 0.9984389873 0.0057814626 1.1666024721 -0.0257888544 -0.9786098086 1 frame_0045_left.jpg

185 0.6640888247 -0.0081013475 -0.7475867197 0.0058734717 1.1733747399 -0.0215182313 -1.0106965312 1 frame_0046_front.jpg

186 0.9982053502 -0.0015753461 -0.0590419277 0.0098816895 1.1733747399 -0.0215182313 -1.0106965312 1 frame_0046_right.jpg

187 0.7475867197 0.0058734717 0.6640888247 0.0081013475 1.1733747399 -0.0215182313 -1.0106965312 1 frame_0046_back.jpg

188 0.0590419277 0.0098816895 0.9982053502 0.0015753461 1.1733747399 -0.0215182313 -1.0106965312 1 frame_0046_left.jpg

189 0.6629876592 -0.0053952299 -0.7485573612 0.0089516648 1.1751976943 -0.0130861407 -1.0494506951 1 frame_0047_front.jpg

190 0.9981130558 0.0025147793 -0.0605069165 0.0101447865 1.1751976943 -0.0130861407 -1.0494506951 1 frame_0047_right.jpg

191 0.7485573612 0.0089516648 0.6629876592 0.0053952299 1.1751976943 -0.0130861407 -1.0494506951 1 frame_0047_back.jpg

192 0.0605069165 0.0101447865 0.9981130558 -0.0025147793 1.1751976943 -0.0130861407 -1.0494506951 1 frame_0047_left.jpg

193 0.6632722633 -0.0094889963 -0.7482737293 0.0081418442 1.1720553344 -0.0262165044 -1.0922617391 1 frame_0048_front.jpg

194 0.9981137434 -0.0009525804 -0.0601051130 0.0124668869 1.1720553344 -0.0262165044 -1.0922617391 1 frame_0048_right.jpg

195 0.7482737293 0.0081418442 0.6632722633 0.0094889963 1.1720553344 -0.0262165044 -1.0922617391 1 frame_0048_back.jpg

196 0.0601051130 0.0124668869 0.9981137434 0.0009525804 1.1720553344 -0.0262165044 -1.0922617391 1 frame_0048_left.jpg

197 0.6701895527 -0.0037605737 -0.7421784690 0.0017151100 1.1495312187 -0.0073068892 -1.1577000586 1 frame_0049_front.jpg

198 0.9986950057 -0.0014463613 -0.0509038509 0.0038718930 1.1495312187 -0.0073068892 -1.1577000586 1 frame_0049_right.jpg

199 0.7421784690 0.0017151100 0.6701895527 0.0037605737 1.1495312187 -0.0073068892 -1.1577000586 1 frame_0049_back.jpg

200 0.0509038509 0.0038718930 0.9986950057 0.0014463613 1.1495312187 -0.0073068892 -1.1577000586 1 frame_0049_left.jpg

